Disease,Description,Symptoms,Diet,Medication,workout,Precautions
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Avoid sugary foods,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Consume probiotics,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Increase intake of garlic,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Include yogurt in diet,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Limit processed foods,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Stay hydrated,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Consume green tea,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Eat foods rich in zinc,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Include turmeric in diet,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"[('dischromic_patches', 6), ('itching', 1), ('skin_rash', 3), ('nodal_skin_eruptions', 4)]","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']",Eat fruits and vegetables,"['use clean cloths', 'use detol or neem in bathing water', 'keep infected area dry', 'bath twice']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Avoid allergenic foods,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Consume anti-inflammatory foods,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Include omega-3 fatty acids,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Stay hydrated,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Eat foods rich in vitamin C,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Include quercetin-rich foods,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Consume local honey,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Limit processed foods,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Include ginger in diet,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"[('continuous_sneezing', 4), ('shivering', 5), ('watering_from_eyes', 4), ('chills', 3)]","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Avoid artificial additives,"['cover area with bandage', 'use ice to compress itching', 'apply calamine']"
